이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2021,01,30,대전광역시,30140,중구,3014010300,목동,G,도매 및 소매업(45-47),9841.67,20053.53
2021,01,30,대전광역시,30140,중구,3014010300,목동,I,숙박 및 음식점업(55-56),1867.8,1161.41
2021,01,30,대전광역시,30140,중구,3014010300,목동,Q,보건업 및 사회복지 서비스업(86-87),50.0,51.06
2021,01,30,대전광역시,30140,중구,3014010300,목동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),200.0,122.78
2021,01,30,대전광역시,30140,중구,3014010400,중촌동,G,도매 및 소매업(45-47),3283.33,10557.83
2021,01,30,대전광역시,30140,중구,3014010400,중촌동,I,숙박 및 음식점업(55-56),1118.97,1229.25
2021,01,30,대전광역시,30140,중구,3014010500,대흥동,G,도매 및 소매업(45-47),8150.0,20362.47
2021,01,30,대전광역시,30140,중구,3014010500,대흥동,I,숙박 및 음식점업(55-56),2103.13,793.07
2021,01,30,대전광역시,30140,중구,3014010500,대흥동,Q,보건업 및 사회복지 서비스업(86-87),50.0,157.73
2021,01,30,대전광역시,30140,중구,3014010600,문창동,G,도매 및 소매업(45-47),70.0,148.18
2021,01,30,대전광역시,30140,중구,3014010600,문창동,I,숙박 및 음식점업(55-56),25.0,18.9
2021,01,30,대전광역시,30140,중구,3014010700,석교동,I,숙박 및 음식점업(55-56),120.83,86.89
2021,01,30,대전광역시,30140,중구,3014010800,호동,I,숙박 및 음식점업(55-56),27.27,18.23
2021,01,30,대전광역시,30140,중구,3014010900,옥계동,I,숙박 및 음식점업(55-56),157.14,133.88
2021,01,30,대전광역시,30140,중구,3014011000,대사동,G,도매 및 소매업(45-47),128.85,120.5
2021,01,30,대전광역시,30140,중구,3014011000,대사동,I,숙박 및 음식점업(55-56),1728.57,2530.52
2021,01,30,대전광역시,30140,중구,3014011100,부사동,G,도매 및 소매업(45-47),114.63,123.05
2021,01,30,대전광역시,30140,중구,3014011100,부사동,I,숙박 및 음식점업(55-56),183.33,134.32
2021,01,30,대전광역시,30140,중구,3014011200,용두동,G,도매 및 소매업(45-47),102.05,134.57
2021,01,30,대전광역시,30140,중구,3014011200,용두동,I,숙박 및 음식점업(55-56),1794.12,1499.54
2021,01,30,대전광역시,30140,중구,3014011200,용두동,Q,보건업 및 사회복지 서비스업(86-87),300.0,42.86
2021,01,30,대전광역시,30140,중구,3014011200,용두동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),133.33,731.16
2021,01,30,대전광역시,30140,중구,3014011300,오류동,G,도매 및 소매업(45-47),3423.08,17201.64
2021,01,30,대전광역시,30140,중구,3014011300,오류동,I,숙박 및 음식점업(55-56),2134.38,1068.17
2021,01,30,대전광역시,30140,중구,3014011300,오류동,Q,보건업 및 사회복지 서비스업(86-87),122.22,91.58
2021,01,30,대전광역시,30140,중구,3014011400,태평동,C,제조업(10-34),100.0,44.68
2021,01,30,대전광역시,30140,중구,3014011400,태평동,G,도매 및 소매업(45-47),2918.28,2432.33
2021,01,30,대전광역시,30140,중구,3014011400,태평동,H,운수 및 창고업(49-52),37.5,83.46
2021,01,30,대전광역시,30140,중구,3014011400,태평동,I,숙박 및 음식점업(55-56),1448.75,1069.49
2021,01,30,대전광역시,30140,중구,3014011400,태평동,J,정보통신업(58-63),18.97,35.9
2021,01,30,대전광역시,30140,중구,3014011400,태평동,Q,보건업 및 사회복지 서비스업(86-87),236.25,172.03
