이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2022,01,11,서울특별시,11470,양천구,1147010100,신정동,I,숙박 및 음식점업(55-56),76.92,149.52
2022,01,11,서울특별시,11680,강남구,1168010100,역삼동,I,숙박 및 음식점업(55-56),100.0,100.0
2022,01,28,인천광역시,28200,남동구,2820010100,구월동,G,도매 및 소매업(45-47),157.14,190.47
2022,01,28,인천광역시,28200,남동구,2820010100,구월동,I,숙박 및 음식점업(55-56),203.85,189.06
2022,01,30,대전광역시,30110,동구,3011010200,인동,G,도매 및 소매업(45-47),162.3,125.38
2022,01,30,대전광역시,30110,동구,3011010200,인동,I,숙박 및 음식점업(55-56),2337.5,2236.48
2022,01,30,대전광역시,30110,동구,3011010200,인동,Q,보건업 및 사회복지 서비스업(86-87),100.0,100.0
2022,01,30,대전광역시,30110,동구,3011010300,효동,G,도매 및 소매업(45-47),255.56,217.73
2022,01,30,대전광역시,30110,동구,3011010300,효동,I,숙박 및 음식점업(55-56),80.65,194.19
2022,01,30,대전광역시,30110,동구,3011010400,천동,G,도매 및 소매업(45-47),203.61,196.07
2022,01,30,대전광역시,30110,동구,3011010400,천동,I,숙박 및 음식점업(55-56),4760.0,4388.84
2022,01,30,대전광역시,30110,동구,3011010500,가오동,G,도매 및 소매업(45-47),3700.0,6695.74
2022,01,30,대전광역시,30110,동구,3011010500,가오동,I,숙박 및 음식점업(55-56),3991.67,3403.31
2022,01,30,대전광역시,30110,동구,3011010600,신흥동,G,도매 및 소매업(45-47),183.33,116.37
2022,01,30,대전광역시,30110,동구,3011010600,신흥동,I,숙박 및 음식점업(55-56),3333.33,3206.1
2022,01,30,대전광역시,30110,동구,3011010700,판암동,G,도매 및 소매업(45-47),243.89,291.06
2022,01,30,대전광역시,30110,동구,3011010700,판암동,I,숙박 및 음식점업(55-56),5753.33,4029.19
2022,01,30,대전광역시,30110,동구,3011010700,판암동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),100.0,115.69
2022,01,30,대전광역시,30110,동구,3011010900,용운동,G,도매 및 소매업(45-47),26866.67,10915.94
