이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2020,05,30,대전광역시,30110,동구,3011010200,인동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010400,천동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010500,가오동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010500,가오동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010600,신흥동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010700,판암동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010900,용운동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011010900,용운동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011000,대동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011000,대동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011100,자양동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011400,가양동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011500,용전동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011500,용전동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011600,성남동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011600,성남동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011800,삼성동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011011800,삼성동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011013900,대성동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30110,동구,3011013900,대성동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010200,선화동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010200,선화동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010300,목동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010300,목동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010400,중촌동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010400,중촌동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010500,대흥동,G,도매 및 소매업(45-47),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014010500,대흥동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014011000,대사동,I,숙박 및 음식점업(55-56),100.0,100.0
2020,05,30,대전광역시,30140,중구,3014011200,용두동,I,숙박 및 음식점업(55-56),100.0,100.0
