이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2022,05,11,서울특별시,11200,성동구,1120010700,행당동,G,도매 및 소매업(45-47),62.07,56.58
2022,05,11,서울특별시,11200,성동구,1120010700,행당동,I,숙박 및 음식점업(55-56),67.74,121.24
2022,05,11,서울특별시,11350,노원구,1135010300,공릉동,G,도매 및 소매업(45-47),47.37,56.22
2022,05,11,서울특별시,11350,노원구,1135010300,공릉동,I,숙박 및 음식점업(55-56),1133.33,2315.74
2022,05,11,서울특별시,11470,양천구,1147010100,신정동,G,도매 및 소매업(45-47),78.13,91.5
2022,05,11,서울특별시,11470,양천구,1147010100,신정동,I,숙박 및 음식점업(55-56),205.13,356.93
2022,05,11,서울특별시,11470,양천구,1147010200,목동,G,도매 및 소매업(45-47),247.83,226.59
2022,05,11,서울특별시,11470,양천구,1147010200,목동,I,숙박 및 음식점업(55-56),220.59,110.05
2022,05,11,서울특별시,11620,관악구,1162010200,신림동,I,숙박 및 음식점업(55-56),31.82,71.69
2022,05,26,부산광역시,26470,연제구,2647010100,거제동,G,도매 및 소매업(45-47),122.73,126.79
2022,05,26,부산광역시,26470,연제구,2647010100,거제동,I,숙박 및 음식점업(55-56),217.65,286.67
2022,05,28,인천광역시,28177,미추홀구,2817710200,용현동,I,숙박 및 음식점업(55-56),38.89,86.49
2022,05,28,인천광역시,28200,남동구,2820010100,구월동,G,도매 및 소매업(45-47),114.29,145.34
2022,05,28,인천광역시,28200,남동구,2820010100,구월동,I,숙박 및 음식점업(55-56),257.69,141.25
2022,05,30,대전광역시,30110,동구,3011010100,원동,G,도매 및 소매업(45-47),83.33,32.4
2022,05,30,대전광역시,30110,동구,3011010100,원동,I,숙박 및 음식점업(55-56),125.0,75.12
2022,05,30,대전광역시,30110,동구,3011010200,인동,G,도매 및 소매업(45-47),281.97,189.35
2022,05,30,대전광역시,30110,동구,3011010200,인동,I,숙박 및 음식점업(55-56),3825.0,4602.71
2022,05,30,대전광역시,30110,동구,3011010200,인동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),100.0,100.0
2022,05,30,대전광역시,30110,동구,3011010300,효동,G,도매 및 소매업(45-47),88.89,94.97
2022,05,30,대전광역시,30110,동구,3011010300,효동,I,숙박 및 음식점업(55-56),345.16,654.54
2022,05,30,대전광역시,30110,동구,3011010400,천동,G,도매 및 소매업(45-47),378.31,325.93
2022,05,30,대전광역시,30110,동구,3011010400,천동,I,숙박 및 음식점업(55-56),8620.0,7667.85
2022,05,30,대전광역시,30110,동구,3011010400,천동,O,공공 행정  국방 및 사회보장 행정(84),100.0,100.0
2022,05,30,대전광역시,30110,동구,3011010500,가오동,G,도매 및 소매업(45-47),6571.43,6465.32
2022,05,30,대전광역시,30110,동구,3011010500,가오동,I,숙박 및 음식점업(55-56),5841.67,5342.89
2022,05,30,대전광역시,30110,동구,3011010600,신흥동,G,도매 및 소매업(45-47),183.33,195.85
2022,05,30,대전광역시,30110,동구,3011010600,신흥동,I,숙박 및 음식점업(55-56),3533.33,4881.33
2022,05,30,대전광역시,30110,동구,3011010700,판암동,G,도매 및 소매업(45-47),396.83,385.84
2022,05,30,대전광역시,30110,동구,3011010700,판암동,I,숙박 및 음식점업(55-56),7260.0,5582.63
2022,05,30,대전광역시,30110,동구,3011010700,판암동,J,정보통신업(58-63),45.45,93.93
2022,05,30,대전광역시,30110,동구,3011010700,판암동,Q,보건업 및 사회복지 서비스업(86-87),525.0,1743.22
2022,05,30,대전광역시,30110,동구,3011010700,판암동,R,예술  스포츠 및 여가관련 서비스업(90-91),175.0,93.53
2022,05,30,대전광역시,30110,동구,3011010900,용운동,G,도매 및 소매업(45-47),39133.33,18253.0
2022,05,30,대전광역시,30110,동구,3011010900,용운동,I,숙박 및 음식점업(55-56),13333.33,16840.02
2022,05,30,대전광역시,30110,동구,3011010900,용운동,Q,보건업 및 사회복지 서비스업(86-87),42.86,2.96
2022,05,30,대전광역시,30110,동구,3011010900,용운동,R,예술  스포츠 및 여가관련 서비스업(90-91),120.0,295.45
2022,05,30,대전광역시,30110,동구,3011010900,용운동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),133.33,117.35
2022,05,30,대전광역시,30110,동구,3011011000,대동,G,도매 및 소매업(45-47),10928.57,5563.71
2022,05,30,대전광역시,30110,동구,3011011000,대동,I,숙박 및 음식점업(55-56),2191.38,1805.08
2022,05,30,대전광역시,30110,동구,3011011000,대동,J,정보통신업(58-63),140.0,200.53
2022,05,30,대전광역시,30110,동구,3011011000,대동,Q,보건업 및 사회복지 서비스업(86-87),110.0,44.66
2022,05,30,대전광역시,30110,동구,3011011000,대동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),160.0,54.07
2022,05,30,대전광역시,30110,동구,3011011100,자양동,G,도매 및 소매업(45-47),444.8,411.38
2022,05,30,대전광역시,30110,동구,3011011100,자양동,I,숙박 및 음식점업(55-56),3050.0,2977.46
2022,05,30,대전광역시,30110,동구,3011011100,자양동,Q,보건업 및 사회복지 서비스업(86-87),166.67,145.82
2022,05,30,대전광역시,30110,동구,3011011200,신안동,G,도매 및 소매업(45-47),33.33,25.64
2022,05,30,대전광역시,30110,동구,3011011200,신안동,I,숙박 및 음식점업(55-56),58.33,54.21
2022,05,30,대전광역시,30110,동구,3011011300,소제동,I,숙박 및 음식점업(55-56),75.0,61.71
2022,05,30,대전광역시,30110,동구,3011011400,가양동,G,도매 및 소매업(45-47),429.76,390.93
2022,05,30,대전광역시,30110,동구,3011011400,가양동,I,숙박 및 음식점업(55-56),4972.73,4320.06
2022,05,30,대전광역시,30110,동구,3011011400,가양동,Q,보건업 및 사회복지 서비스업(86-87),662.5,230.83
2022,05,30,대전광역시,30110,동구,3011011400,가양동,R,예술  스포츠 및 여가관련 서비스업(90-91),120.0,48.22
2022,05,30,대전광역시,30110,동구,3011011400,가양동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),233.33,39.2
2022,05,30,대전광역시,30110,동구,3011011500,용전동,G,도매 및 소매업(45-47),19175.0,84948.8
2022,05,30,대전광역시,30110,동구,3011011500,용전동,I,숙박 및 음식점업(55-56),3873.08,3818.74
2022,05,30,대전광역시,30110,동구,3011011500,용전동,O,공공 행정  국방 및 사회보장 행정(84),100.0,100.0
2022,05,30,대전광역시,30110,동구,3011011500,용전동,Q,보건업 및 사회복지 서비스업(86-87),190.0,490.62
2022,05,30,대전광역시,30110,동구,3011011500,용전동,R,예술  스포츠 및 여가관련 서비스업(90-91),20.0,15.99
2022,05,30,대전광역시,30110,동구,3011011500,용전동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),60.0,36.95
2022,05,30,대전광역시,30110,동구,3011011600,성남동,G,도매 및 소매업(45-47),7350.0,8840.59
2022,05,30,대전광역시,30110,동구,3011011600,성남동,I,숙박 및 음식점업(55-56),8200.0,3942.31
2022,05,30,대전광역시,30110,동구,3011011600,성남동,R,예술  스포츠 및 여가관련 서비스업(90-91),100.0,100.0
2022,05,30,대전광역시,30110,동구,3011011700,홍도동,G,도매 및 소매업(45-47),381.1,323.47
2022,05,30,대전광역시,30110,동구,3011011700,홍도동,I,숙박 및 음식점업(55-56),323.37,333.32
2022,05,30,대전광역시,30110,동구,3011011700,홍도동,Q,보건업 및 사회복지 서비스업(86-87),75.0,27.39
2022,05,30,대전광역시,30110,동구,3011011800,삼성동,G,도매 및 소매업(45-47),3685.0,11911.19
2022,05,30,대전광역시,30110,동구,3011011800,삼성동,I,숙박 및 음식점업(55-56),2019.61,1747.08
2022,05,30,대전광역시,30110,동구,3011011800,삼성동,Q,보건업 및 사회복지 서비스업(86-87),100.0,27.83
2022,05,30,대전광역시,30110,동구,3011011800,삼성동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),142.86,155.68
2022,05,30,대전광역시,30110,동구,3011012000,중동,I,숙박 및 음식점업(55-56),200.0,263.11
2022,05,30,대전광역시,30110,동구,3011013600,낭월동,G,도매 및 소매업(45-47),325.53,241.44
2022,05,30,대전광역시,30110,동구,3011013600,낭월동,I,숙박 및 음식점업(55-56),215.0,201.65
2022,05,30,대전광역시,30110,동구,3011013900,대성동,G,도매 및 소매업(45-47),6633.33,13162.29
2022,05,30,대전광역시,30110,동구,3011013900,대성동,I,숙박 및 음식점업(55-56),6528.57,9605.28
2022,05,30,대전광역시,30110,동구,3011013900,대성동,P,교육 서비스업(85),100.0,89.41
2022,05,30,대전광역시,30110,동구,3011013900,대성동,R,예술  스포츠 및 여가관련 서비스업(90-91),100.0,100.0
2022,05,30,대전광역시,30140,중구,3014010100,은행동,G,도매 및 소매업(45-47),466.67,839.58
2022,05,30,대전광역시,30140,중구,3014010100,은행동,I,숙박 및 음식점업(55-56),500.0,530.48
2022,05,30,대전광역시,30140,중구,3014010200,선화동,G,도매 및 소매업(45-47),9153.85,20820.48
2022,05,30,대전광역시,30140,중구,3014010200,선화동,I,숙박 및 음식점업(55-56),2876.6,1556.68
2022,05,30,대전광역시,30140,중구,3014010200,선화동,Q,보건업 및 사회복지 서비스업(86-87),142.86,61.3
2022,05,30,대전광역시,30140,중구,3014010200,선화동,R,예술  스포츠 및 여가관련 서비스업(90-91),133.33,13.92
2022,05,30,대전광역시,30140,중구,3014010200,선화동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),42.86,36.09
2022,05,30,대전광역시,30140,중구,3014010300,목동,G,도매 및 소매업(45-47),15558.33,28574.25
2022,05,30,대전광역시,30140,중구,3014010300,목동,I,숙박 및 음식점업(55-56),3981.36,2558.17
2022,05,30,대전광역시,30140,중구,3014010300,목동,O,공공 행정  국방 및 사회보장 행정(84),133.33,156.19
2022,05,30,대전광역시,30140,중구,3014010300,목동,Q,보건업 및 사회복지 서비스업(86-87),220.0,122.13
2022,05,30,대전광역시,30140,중구,3014010300,목동,R,예술  스포츠 및 여가관련 서비스업(90-91),300.0,16.85
2022,05,30,대전광역시,30140,중구,3014010400,중촌동,G,도매 및 소매업(45-47),4783.33,18273.69
2022,05,30,대전광역시,30140,중구,3014010400,중촌동,I,숙박 및 음식점업(55-56),1932.76,2327.09
2022,05,30,대전광역시,30140,중구,3014010400,중촌동,Q,보건업 및 사회복지 서비스업(86-87),150.0,132.61
2022,05,30,대전광역시,30140,중구,3014010400,중촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),200.0,113.65
2022,05,30,대전광역시,30140,중구,3014010500,대흥동,G,도매 및 소매업(45-47),22825.0,44026.75
2022,05,30,대전광역시,30140,중구,3014010500,대흥동,I,숙박 및 음식점업(55-56),4259.38,2074.1
2022,05,30,대전광역시,30140,중구,3014010500,대흥동,O,공공 행정  국방 및 사회보장 행정(84),100.0,59.85
2022,05,30,대전광역시,30140,중구,3014010500,대흥동,Q,보건업 및 사회복지 서비스업(86-87),44.44,37.18
2022,05,30,대전광역시,30140,중구,3014010500,대흥동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),133.33,162.67
2022,05,30,대전광역시,30140,중구,3014010600,문창동,G,도매 및 소매업(45-47),210.0,465.46
2022,05,30,대전광역시,30140,중구,3014010600,문창동,I,숙박 및 음식점업(55-56),146.88,101.2
2022,05,30,대전광역시,30140,중구,3014010700,석교동,G,도매 및 소매업(45-47),121.05,100.9
2022,05,30,대전광역시,30140,중구,3014010700,석교동,I,숙박 및 음식점업(55-56),354.17,338.84
2022,05,30,대전광역시,30140,중구,3014010800,호동,G,도매 및 소매업(45-47),27.27,20.2
2022,05,30,대전광역시,30140,중구,3014010800,호동,I,숙박 및 음식점업(55-56),145.45,22.6
2022,05,30,대전광역시,30140,중구,3014010900,옥계동,G,도매 및 소매업(45-47),1180.0,2470.74
2022,05,30,대전광역시,30140,중구,3014010900,옥계동,I,숙박 및 음식점업(55-56),571.43,447.63
2022,05,30,대전광역시,30140,중구,3014011000,대사동,G,도매 및 소매업(45-47),96.15,119.58
2022,05,30,대전광역시,30140,중구,3014011000,대사동,I,숙박 및 음식점업(55-56),4285.71,6598.85
2022,05,30,대전광역시,30140,중구,3014011000,대사동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),100.0,24.01
2022,05,30,대전광역시,30140,중구,3014011100,부사동,G,도매 및 소매업(45-47),178.05,100.93
2022,05,30,대전광역시,30140,중구,3014011100,부사동,I,숙박 및 음식점업(55-56),257.14,207.07
